seed,metric,delta
42,macro_f1,-0.0001693919315927106
123,macro_f1,-0.00016944093592397014
2024,macro_f1,-0.00016942841660616548
mean,macro_f1,-0.00016942042804094873
42,recall,-0.00017567567567566833
123,recall,-0.00017567567567566833
2024,recall,-0.00017567567567577935
mean,recall,-0.00017567567567570533
42,fpr,0.0003513513513513644
123,fpr,0.00035135135135133666
2024,fpr,0.00035135135135133666
mean,fpr,0.00035135135135134593
42,backdoor_detection_rate,0.0
123,backdoor_detection_rate,0.0
2024,backdoor_detection_rate,0.0
mean,backdoor_detection_rate,0.0
