comparison,seed,metric,delta_value
A1-A0,42,macro_f1,0.010196354783280515
A1-A0,123,macro_f1,0.010527072566334228
A1-A0,2024,macro_f1,0.010352600540375456
A1-A0,mean,macro_f1,0.010358675963330066
A1-A1b,42,macro_f1,0.04118306196647492
A1-A1b,123,macro_f1,0.04180248347551174
A1-A1b,2024,macro_f1,0.041019527524916555
A1-A1b,mean,macro_f1,0.04133502432230107
A1-A2,42,macro_f1,-4.539497988897967e-05
A1-A2,123,macro_f1,-0.0004821233637184452
A1-A2,2024,macro_f1,-0.00037023249750856024
A1-A2,mean,macro_f1,-0.000299250280371995
A1-A3,42,macro_f1,0.023303908560576403
A1-A3,123,macro_f1,0.024586412570302585
A1-A3,2024,macro_f1,0.025553026584658634
A1-A3,mean,macro_f1,0.024481115905179207
A1-A4,42,macro_f1,0.00015481297541675154
A1-A4,123,macro_f1,0.0013998420945061651
A1-A4,2024,macro_f1,0.0013084754672407772
A1-A4,mean,macro_f1,0.0009543768457212313
A1-A5,42,macro_f1,8.669269455607864e-05
A1-A5,123,macro_f1,-0.00010425938255442802
A1-A5,2024,macro_f1,9.032249789786562e-05
A1-A5,mean,macro_f1,2.4251936633172082e-05
A6-A1,42,macro_f1,-0.0001693919315927106
A6-A1,123,macro_f1,-0.00016944093592397014
A6-A1,2024,macro_f1,-0.00016942841660616548
A6-A1,mean,macro_f1,-0.00016942042804094873
A6-A1,42,recall,-0.00017567567567566833
A6-A1,123,recall,-0.00017567567567566833
A6-A1,2024,recall,-0.00017567567567577935
A6-A1,mean,recall,-0.00017567567567570533
A6-A1,42,fpr,0.0003513513513513644
A6-A1,123,fpr,0.00035135135135133666
A6-A1,2024,fpr,0.00035135135135133666
A6-A1,mean,fpr,0.00035135135135134593
A6-A1,42,backdoor_detection_rate,0.0
A6-A1,123,backdoor_detection_rate,0.0
A6-A1,2024,backdoor_detection_rate,0.0
A6-A1,mean,backdoor_detection_rate,0.0
