feature_name,feature_index,mean_abs_shap,rank
sttl,1,0.15948553501220294,1
ct_state_ttl,3,0.06963497482441822,2
dttl,4,0.03174632856437392,3
sbytes,0,0.026620334584014336,4
dload,11,0.02375389981674758,5
ct_srv_dst,25,0.02323152231933281,6
smean,8,0.022661279507925205,7
sload,6,0.022623323861874784,8
ct_dst_src_ltm,26,0.01825993333197607,9
swin,31,0.018020490144245123,10
proto_tcp,35,0.01593035076822962,11
rate,5,0.015368486707495979,12
ct_srv_src,28,0.015263732834945037,13
ct_dst_sport_ltm,22,0.014399143929074341,14
state_INT,21,0.014156521367579143,15
dbytes,2,0.009943474097288598,16
dmean,9,0.009401168697859123,17
service_-,43,0.00927242311198782,18
sloss,23,0.009054577133710644,19
synack,15,0.007550681067108153,20
ackdat,16,0.006610675039183022,21
service_dns,39,0.00566182168950687,22
tcprtt,14,0.005293539893808123,23
spkts,18,0.004776447292520235,24
dinpkt,10,0.004028783880453404,25
dpkts,12,0.003971164971291615,26
ct_src_ltm,27,0.003954500412775646,27
dur,7,0.0035802117712246903,28
sinpkt,13,0.003457740921235666,29
proto_arp,41,0.003164107819459519,30
ct_src_dport_ltm,29,0.0031619041818415935,31
djit,19,0.0031368259269837265,32
sjit,17,0.002867390251894135,33
ct_dst_ltm,24,0.002777498031279409,34
proto_udp,42,0.0024738354074257847,35
state_CON,30,0.0021999373452464064,36
is_sm_ips_ports,40,0.002080757525094406,37
dloss,20,0.001985559958564578,38
stcpb,32,0.001675568479055047,39
trans_depth,47,0.0014754268372605195,40
dtcpb,34,0.0014548914365028044,41
ct_flw_http_mthd,51,0.0013705803072996431,42
service_http,63,0.0011066961518597228,43
state_FIN,36,0.000735076759198052,44
state_REQ,53,0.0007331675282852816,45
response_body_len,37,0.000698469154980991,46
dwin,33,0.0004914357124401476,47
proto_sctp,48,0.00038488500787540623,48
proto_ospf,46,0.0003634994685901604,49
proto_unas,38,0.0001585415266883861,50
proto_swipe,60,0.00013613014883414703,51
proto_ipv6,56,0.00011993845987627843,52
proto_sun-nd,59,0.00011981850053349736,53
state_RST,64,0.00011076328540230813,54
proto_mobile,57,8.258163780176836e-05,55
service_ftp-data,45,7.303431080346725e-05,56
proto_sep,62,3.970528040043347e-05,57
is_ftp_login,54,3.481131221533243e-05,58
ct_ftp_cmd,50,2.7707979705054608e-05,59
service_pop3,49,1.2073939973410747e-05,60
service_ssh,44,5.716762763308692e-06,61
proto_cbt,73,2.411560639200876e-06,62
proto_pim,58,1.1024683970459272e-06,63
proto_any,52,3.096865627942782e-07,64
proto_gre,55,1.944911095849674e-07,65
proto_bna,71,2.313970273415633e-08,66
proto_rsvp,61,0.0,67
proto_3pc,66,0.0,68
proto_a/n,67,0.0,69
proto_aes-sp3-d,68,0.0,70
proto_aris,69,0.0,71
proto_ib,65,0.0,72
proto_ax.25,70,0.0,73
proto_br-sat-mon,72,0.0,74
proto_cftp,74,0.0,75
