feature_name,feature_index,mean_abs_shap,rank
sttl,1,0.35540039459357314,1
sbytes,0,0.08765232467479657,2
ct_srv_dst,25,0.04198855823719979,3
smean,8,0.04147202967097224,4
ct_dst_src_ltm,26,0.034583396244265735,5
dmean,9,0.01836980661473547,6
ct_srv_src,28,0.014978832074435134,7
sloss,23,0.0145245743987044,8
tcprtt,14,0.014290057355462304,9
ct_dst_sport_ltm,22,0.013141618734833974,10
state_CON,30,0.009738889303843479,11
dbytes,2,0.009311784638918656,12
ackdat,16,0.00873626347498289,13
synack,15,0.00791287057505302,14
ct_src_ltm,27,0.007729300690561381,15
ct_src_dport_ltm,29,0.006700781522454085,16
rate,5,0.0064755359655453894,17
sload,6,0.006369069493643799,18
proto_udp,42,0.006367278408132447,19
sinpkt,13,0.006325360650753314,20
stcpb,32,0.006023550253746501,21
dur,7,0.005731410133517511,22
sjit,17,0.005420204180818414,23
dinpkt,10,0.0051842493119431034,24
djit,19,0.00491795678791924,25
ct_dst_ltm,24,0.0042940150645588235,26
dloss,20,0.004188432878705203,27
dtcpb,34,0.004061742506776046,28
service_-,43,0.003519826723744139,29
dpkts,12,0.003215017361475853,30
dload,11,0.0029823903440694415,31
ct_flw_http_mthd,51,0.002953455108853436,32
spkts,18,0.002354279113767642,33
trans_depth,47,0.0012993193589114088,34
state_INT,21,0.0012376124131412785,35
response_body_len,37,0.0010360085292014482,36
proto_arp,41,0.0010189588315705855,37
ct_state_ttl,3,0.0005622838298620283,38
service_http,63,0.0004480591845583399,39
proto_sctp,48,0.00021121988516765506,40
proto_ipv6,56,0.0001668597121670478,41
ct_ftp_cmd,50,0.00015507074094645422,42
service_dns,39,0.0001139811816781671,43
dttl,4,8.728738169223297e-06,44
proto_br-sat-mon,72,6.203478892683952e-17,45
state_FIN,36,2.3565156241829068e-17,46
service_ftp-data,45,2.7005104424361603e-19,47
swin,31,0.0,48
proto_ospf,46,0.0,49
service_ssh,44,0.0,50
is_sm_ips_ports,40,0.0,51
proto_unas,38,0.0,52
proto_tcp,35,0.0,53
state_REQ,53,0.0,54
proto_any,52,0.0,55
service_pop3,49,0.0,56
proto_gre,55,0.0,57
is_ftp_login,54,0.0,58
proto_pim,58,0.0,59
proto_mobile,57,0.0,60
proto_sun-nd,59,0.0,61
proto_swipe,60,0.0,62
proto_rsvp,61,0.0,63
dwin,33,0.0,64
proto_sep,62,0.0,65
state_RST,64,0.0,66
proto_3pc,66,0.0,67
proto_ib,65,0.0,68
proto_aes-sp3-d,68,0.0,69
proto_aris,69,0.0,70
proto_ax.25,70,0.0,71
proto_a/n,67,0.0,72
proto_bna,71,0.0,73
proto_cbt,73,0.0,74
proto_cftp,74,0.0,75
