feature_name,feature_index,mean_abs_shap,rank
sttl,1,0.35540039459357314,1
sbytes,0,0.08765232467479657,2
ct_srv_dst,25,0.04198855823719979,3
smean,8,0.04147202967097224,4
ct_dst_src_ltm,26,0.034583396244265735,5
dmean,9,0.01836980661473547,6
ct_srv_src,28,0.014978832074435134,7
sloss,23,0.0145245743987044,8
tcprtt,14,0.014290057355462304,9
ct_dst_sport_ltm,22,0.013141618734833974,10
state_CON,30,0.009738889303843479,11
dbytes,2,0.009311784638918656,12
ackdat,16,0.00873626347498289,13
synack,15,0.00791287057505302,14
ct_src_ltm,27,0.007729300690561381,15
ct_src_dport_ltm,29,0.006700781522454085,16
rate,5,0.0064755359655453894,17
sload,6,0.006369069493643799,18
proto_udp,42,0.006367278408132447,19
sinpkt,13,0.006325360650753314,20
