feature_name,feature_index,mean_abs_shap,rank
dttl,4,0.06669573409389705,1
ct_srv_dst,25,0.04274133670078863,2
ct_state_ttl,3,0.03993620754114954,3
sttl,1,0.034524274276537655,4
service_dns,39,0.030333601584621648,5
swin,31,0.02935183985286858,6
ct_dst_src_ltm,26,0.0271441098700943,7
proto_tcp,35,0.02474131754192058,8
dmean,9,0.024099922169221827,9
proto_udp,42,0.022479608337130457,10
service_-,43,0.01999810694847474,11
ct_srv_src,28,0.018534115064182514,12
state_INT,21,0.01799577079003211,13
smean,8,0.017771685866135953,14
ct_dst_sport_ltm,22,0.016084593080324908,15
tcprtt,14,0.015982875053471617,16
ct_dst_ltm,24,0.015890054015896566,17
synack,15,0.014367115152798305,18
sload,6,0.014080265482452886,19
ackdat,16,0.013323263159460225,20
state_FIN,36,0.009778996534817452,21
proto_unas,38,0.009182184156009498,22
stcpb,32,0.007863415941989615,23
service_http,63,0.007343732921972567,24
rate,5,0.006943426942108545,25
dinpkt,10,0.0068539968808590855,26
state_CON,30,0.006686327753089634,27
dwin,33,0.006493233507266723,28
sjit,17,0.00514089347241088,29
trans_depth,47,0.004908772470088365,30
ct_src_ltm,27,0.00409470559016448,31
ct_src_dport_ltm,29,0.003937646252249507,32
state_REQ,53,0.003610676747166508,33
dloss,20,0.002850598855795397,34
ct_flw_http_mthd,51,0.0027068789611939792,35
dload,11,0.002550662350519151,36
dtcpb,34,0.002435477293889747,37
proto_ospf,46,0.0019462702641388266,38
service_ftp-data,45,0.0017410161857406123,39
proto_arp,41,0.0016782270305965667,40
dpkts,12,0.0012273083282344484,41
sloss,23,0.001193753617224786,42
dur,7,0.001155896926792053,43
state_RST,64,0.0011441057476640423,44
dbytes,2,0.0010441364739747546,45
is_sm_ips_ports,40,0.001032002673274922,46
sbytes,0,0.0010077741391416595,47
djit,19,0.0009733266825875546,48
spkts,18,0.0008889068427041735,49
sinpkt,13,0.0005984652873552108,50
proto_any,52,0.0005487681403756142,51
service_pop3,49,0.00039248632864446,52
is_ftp_login,54,0.00034334254734568506,53
proto_rsvp,61,0.0002993101179599762,54
proto_swipe,60,0.00029839043657182887,55
ct_ftp_cmd,50,0.000291092372013722,56
proto_sctp,48,0.00027172093230490193,57
proto_gre,55,0.0002661531472239709,58
response_body_len,37,0.0002474874399802598,59
proto_sun-nd,59,0.00018273534278759424,60
proto_bna,71,0.00016165234611955958,61
proto_mobile,57,0.00014997195755232619,62
proto_br-sat-mon,72,0.00014903730154037476,63
proto_a/n,67,0.00014186841249465943,64
proto_pim,58,0.00014071268227492162,65
proto_sep,62,0.00013539810478687287,66
service_ssh,44,7.012682626334076e-05,67
proto_ipv6,56,3.4706764034808656e-07,68
proto_3pc,66,0.0,69
proto_aes-sp3-d,68,0.0,70
proto_aris,69,0.0,71
proto_ib,65,0.0,72
proto_ax.25,70,0.0,73
proto_cbt,73,0.0,74
proto_cftp,74,0.0,75
