feature_name,feature_index,mean_abs_shap,rank
dttl,4,0.06669573409389705,1
ct_srv_dst,25,0.04274133670078863,2
ct_state_ttl,3,0.03993620754114954,3
sttl,1,0.034524274276537655,4
service_dns,39,0.030333601584621648,5
swin,31,0.02935183985286858,6
ct_dst_src_ltm,26,0.0271441098700943,7
proto_tcp,35,0.02474131754192058,8
dmean,9,0.024099922169221827,9
proto_udp,42,0.022479608337130457,10
service_-,43,0.01999810694847474,11
ct_srv_src,28,0.018534115064182514,12
state_INT,21,0.01799577079003211,13
smean,8,0.017771685866135953,14
ct_dst_sport_ltm,22,0.016084593080324908,15
tcprtt,14,0.015982875053471617,16
ct_dst_ltm,24,0.015890054015896566,17
synack,15,0.014367115152798305,18
sload,6,0.014080265482452886,19
ackdat,16,0.013323263159460225,20
