feature_name,feature_index,mean_abs_shap,rank
dttl,4,2.4180532763179765,1
proto_tcp,35,1.9411001558623846,2
dload,11,1.4028064055462923,3
dwin,33,0.6090449774010874,4
service_dns,39,0.5782152632618665,5
ct_srv_dst,25,0.5475707579762811,6
swin,31,0.539050518027869,7
ct_state_ttl,3,0.5310799909575377,8
state_FIN,36,0.4514366007536673,9
state_INT,21,0.41965123578504515,10
proto_udp,42,0.4038634209843247,11
ct_src_dport_ltm,29,0.39651679715700117,12
service_-,43,0.27882126654555317,13
dmean,9,0.27679119860793805,14
sttl,1,0.22155462060572986,15
dpkts,12,0.14406425839173018,16
state_CON,30,0.11962587379007171,17
synack,15,0.11893504873418223,18
sloss,23,0.10004401571815415,19
proto_unas,38,0.09676536693741794,20
ct_dst_ltm,24,0.09489981516655444,21
dbytes,2,0.09060816364903487,22
service_http,63,0.07320621687604445,23
trans_depth,47,0.05581580937277493,24
sbytes,0,0.05295592848099919,25
state_RST,64,0.05281348188376026,26
state_REQ,53,0.05220433169047592,27
tcprtt,14,0.04785229977440596,28
ackdat,16,0.03205316408073096,29
spkts,18,0.0317638365749684,30
proto_arp,41,0.02897324895809429,31
ct_dst_src_ltm,26,0.01565863762015115,32
service_ftp-data,45,0.013718619778030308,33
dloss,20,0.013575059622335031,34
rate,5,0.011998487387130188,35
ct_srv_src,28,0.011564996562974082,36
ct_src_ltm,27,0.010317739001733267,37
djit,19,0.00960465054836008,38
dinpkt,10,0.008192038099888672,39
dur,7,0.007339086810119234,40
smean,8,0.006909795884304081,41
dtcpb,34,0.006874317981200281,42
ct_dst_sport_ltm,22,0.006673687483417758,43
sload,6,0.005348974025047017,44
stcpb,32,0.0051779185848245335,45
service_pop3,49,0.004989658607962906,46
service_ssh,44,0.004794987951328644,47
response_body_len,37,0.004699744014739053,48
sinpkt,13,0.004406164128183583,49
proto_ospf,46,0.003857345651079359,50
proto_sctp,48,0.0022294332221115365,51
ct_flw_http_mthd,51,0.0017110874746392173,52
proto_any,52,0.0014572971948037434,53
sjit,17,0.0010547059387986458,54
is_sm_ips_ports,40,0.0010083026677829084,55
proto_swipe,60,0.0008519060267401413,56
proto_rsvp,61,0.0007882797833754699,57
proto_gre,55,0.000761896936142259,58
ct_ftp_cmd,50,0.0004959945148697685,59
is_ftp_login,54,0.0004855981232917122,60
proto_sun-nd,59,0.00042514462489350225,61
proto_mobile,57,0.0004239462432471225,62
proto_br-sat-mon,72,0.00038660010063690513,63
proto_pim,58,0.00038437619816593735,64
proto_a/n,67,0.00037813573312833325,65
proto_sep,62,0.0003734309708530184,66
proto_bna,71,0.000353175807396178,67
proto_ipv6,56,1.0907228191180756e-18,68
proto_ib,65,5.082877915753415e-19,69
proto_aris,69,3.183736315328553e-19,70
proto_aes-sp3-d,68,3.1808213358674775e-19,71
proto_ax.25,70,3.16962639650011e-19,72
proto_cftp,74,3.15770987679009e-19,73
proto_cbt,73,3.14902244684876e-19,74
proto_3pc,66,3.141032886100245e-19,75
