positional_row_id,source_row_uid,raw_id,ground_truth_label,a1_prediction,ae_flag,ae_reconstruction_error,tau_threshold,a6_final_decision
40612,UNSW_NB15_testing-set.csv#id=040662,40662,0,0,1,12.874072222060315,11.160062745213509,1
40620,UNSW_NB15_testing-set.csv#id=040670,40670,0,0,1,30.65400859224573,11.160062745213509,1
41062,UNSW_NB15_testing-set.csv#id=041112,41112,0,0,1,12.70178045846335,11.160062745213509,1
41459,UNSW_NB15_testing-set.csv#id=041509,41509,0,0,1,12.888348691805732,11.160062745213509,1
41540,UNSW_NB15_testing-set.csv#id=041590,41590,0,0,1,14.969253623869717,11.160062745213509,1
69582,UNSW_NB15_testing-set.csv#id=070166,70166,0,0,1,11.983138309334306,11.160062745213509,1
69620,UNSW_NB15_testing-set.csv#id=070204,70204,0,0,1,26.74614062416731,11.160062745213509,1
69625,UNSW_NB15_testing-set.csv#id=070209,70209,0,0,1,19.747176002290967,11.160062745213509,1
69638,UNSW_NB15_testing-set.csv#id=070222,70222,0,0,1,25.65617708029067,11.160062745213509,1
69657,UNSW_NB15_testing-set.csv#id=070241,70241,0,0,1,11.848642867240006,11.160062745213509,1
69662,UNSW_NB15_testing-set.csv#id=070246,70246,0,0,1,12.216714188882783,11.160062745213509,1
69670,UNSW_NB15_testing-set.csv#id=070254,70254,0,0,1,18.515424504668477,11.160062745213509,1
81287,UNSW_NB15_testing-set.csv#id=081871,81871,0,0,1,15.125405936839815,11.160062745213509,1
