feature_name,feature_index,mean_squared_reconstruction_error,rank
sbytes,0,173.2122114659121,1
service_pop3,49,100.78038776842942,2
smean,8,38.59079957378508,3
sloss,23,32.85145335606419,4
dload,11,9.131884373313744,5
service_-,43,6.516028217645819,6
dmean,9,5.471521362801295,7
proto_ospf,46,4.808367774801835,8
service_ssh,44,4.096696971279025,9
ct_dst_sport_ltm,22,2.883537860856673,10
rate,5,2.048288440248406,11
ct_srv_src,28,1.6698439967143694,12
spkts,18,1.6568514734040887,13
ct_srv_dst,25,1.4766771879475584,14
sload,6,1.435458745118846,15
service_dns,39,1.2007384856637318,16
service_ftp-data,45,0.9970595065679415,17
state_INT,21,0.9937545563615295,18
ct_src_dport_ltm,29,0.904601057254493,19
sttl,1,0.812026969457154,20
dur,7,0.7173762749943983,21
ct_state_ttl,3,0.7096432117927368,22
state_REQ,53,0.6781318234734313,23
ct_dst_src_ltm,26,0.653159481604488,24
dttl,4,0.6458272579559614,25
ct_dst_ltm,24,0.6270329860757521,26
ct_src_ltm,27,0.5889418484830999,27
state_CON,30,0.584073550754225,28
synack,15,0.5381203818116138,29
sjit,17,0.5174189159789125,30
dpkts,12,0.45717398519282776,31
stcpb,32,0.41184351811566644,32
dtcpb,34,0.38467297363355124,33
response_body_len,37,0.38047838145602697,34
ackdat,16,0.369550408085669,35
dloss,20,0.36501201696339974,36
ct_flw_http_mthd,51,0.36248188623572797,37
dinpkt,10,0.35071864695552085,38
proto_udp,42,0.32900970589020684,39
djit,19,0.30793923397153,40
service_http,63,0.2552821817178107,41
tcprtt,14,0.20832137111932686,42
trans_depth,47,0.19008486822464762,43
dbytes,2,0.17256793184701275,44
state_FIN,36,0.1724907988924325,45
state_RST,64,0.17029603878496877,46
is_ftp_login,54,0.12025948301029014,47
ct_ftp_cmd,50,0.11996140509185159,48
proto_tcp,35,0.11532079447846459,49
swin,31,0.11496631742700938,50
sinpkt,13,0.07949756813924767,51
is_sm_ips_ports,40,0.07941583081900375,52
proto_arp,41,0.07812433575342417,53
dwin,33,0.057699932104156304,54
proto_unas,38,0.03901945326526406,55
proto_any,52,0.0019999999999981825,56
proto_sctp,48,0.0010156889202320555,57
proto_rsvp,61,0.0010000012841701017,58
proto_gre,55,0.0010000001342806673,59
proto_swipe,60,0.000999999735290196,60
proto_bna,71,0.0005000000000180651,61
proto_sun-nd,59,0.0005,62
proto_sep,62,0.0005,63
proto_br-sat-mon,72,0.0004999997873508455,64
proto_a/n,67,0.0004999984797055599,65
proto_pim,58,0.0004999982165321612,66
proto_mobile,57,0.0004999803774032454,67
proto_aris,69,2.432335239696117e-07,68
proto_ax.25,70,2.2521493538327944e-10,69
proto_ib,65,4.398143891312186e-13,70
proto_cbt,73,2.7761483201818783e-14,71
proto_3pc,66,4.8442839358326264e-17,72
proto_ipv6,56,1.0726566977553901e-21,73
proto_cftp,74,9.380839776449417e-36,74
proto_aes-sp3-d,68,4.868011633018152e-36,75
