feature_name,feature_index,mean_abs_shap,rank
sttl,1,0.1594855350122029,1
ct_state_ttl,3,0.0696349748244182,2
dttl,4,0.0317463285643739,3
sbytes,0,0.0266203345840143,4
dload,11,0.0237538998167475,5
ct_srv_dst,25,0.0232315223193328,6
smean,8,0.0226612795079252,7
sload,6,0.0226233238618747,8
ct_dst_src_ltm,26,0.018259933331976,9
swin,31,0.0180204901442451,10
proto_tcp,35,0.0159303507682296,11
rate,5,0.0153684867074959,12
ct_srv_src,28,0.015263732834945,13
ct_dst_sport_ltm,22,0.0143991439290743,14
state_INT,21,0.0141565213675791,15
dbytes,2,0.0099434740972885,16
dmean,9,0.0094011686978591,17
service_-,43,0.0092724231119878,18
sloss,23,0.0090545771337106,19
synack,15,0.0075506810671081,20
ackdat,16,0.006610675039183,21
service_dns,39,0.0056618216895068,22
tcprtt,14,0.0052935398938081,23
spkts,18,0.0047764472925202,24
dinpkt,10,0.0040287838804534,25
dpkts,12,0.0039711649712916,26
ct_src_ltm,27,0.0039545004127756,27
dur,7,0.0035802117712246,28
sinpkt,13,0.0034577409212356,29
proto_arp,41,0.0031641078194595,30
ct_src_dport_ltm,29,0.0031619041818415,31
djit,19,0.0031368259269837,32
sjit,17,0.0028673902518941,33
ct_dst_ltm,24,0.0027774980312794,34
proto_udp,42,0.0024738354074257,35
state_CON,30,0.0021999373452464,36
is_sm_ips_ports,40,0.0020807575250944,37
dloss,20,0.0019855599585645,38
stcpb,32,0.001675568479055,39
trans_depth,47,0.0014754268372605,40
dtcpb,34,0.0014548914365028,41
ct_flw_http_mthd,51,0.0013705803072996,42
service_http,63,0.0011066961518597,43
state_FIN,36,0.000735076759198,44
state_REQ,53,0.0007331675282852,45
response_body_len,37,0.0006984691549809,46
dwin,33,0.0004914357124401,47
proto_sctp,48,0.0003848850078754,48
proto_ospf,46,0.0003634994685901,49
proto_unas,38,0.0001585415266883,50
proto_swipe,60,0.0001361301488341,51
proto_ipv6,56,0.0001199384598762,52
proto_sun-nd,59,0.0001198185005334,53
state_RST,64,0.0001107632854023,54
proto_mobile,57,8.258163780176836e-05,55
service_ftp-data,45,7.303431080346725e-05,56
proto_sep,62,3.970528040043347e-05,57
is_ftp_login,54,3.481131221533243e-05,58
ct_ftp_cmd,50,2.7707979705054608e-05,59
service_pop3,49,1.2073939973410747e-05,60
service_ssh,44,5.716762763308692e-06,61
proto_cbt,73,2.411560639200876e-06,62
proto_pim,58,1.1024683970459272e-06,63
proto_any,52,3.096865627942782e-07,64
proto_gre,55,1.944911095849674e-07,65
proto_bna,71,2.3139702734156333e-08,66
proto_rsvp,61,0.0,67
proto_3pc,66,0.0,68
proto_a/n,67,0.0,69
proto_aes-sp3-d,68,0.0,70
proto_aris,69,0.0,71
proto_ib,65,0.0,72
proto_ax.25,70,0.0,73
proto_br-sat-mon,72,0.0,74
proto_cftp,74,0.0,75
