feature_name,feature_index,mean_squared_reconstruction_error,rank
sbytes,0,151.2795258654909,1
service_pop3,49,100.78150328977641,2
smean,8,47.59026183894664,3
sloss,23,26.356894538320123,4
dload,11,11.897060318985243,5
service_-,43,9.215403304084509,6
dmean,9,6.907744057905557,7
service_ssh,44,5.354874112477707,8
proto_ospf,46,5.003248780645769,9
ct_dst_sport_ltm,22,2.8393695175071474,10
ct_srv_src,28,2.7873922105900837,11
ct_srv_dst,25,2.444458675488847,12
rate,5,2.2050853603723604,13
service_dns,39,1.6489525104279448,14
dur,7,1.4254014024818913,15
sload,6,1.3339085636963597,16
spkts,18,1.0780407721529142,17
service_ftp-data,45,1.0689212157028414,18
ct_state_ttl,3,0.9688900088018918,19
state_INT,21,0.9375214695556061,20
dinpkt,10,0.8386313931845252,21
state_REQ,53,0.8201882774127102,22
ct_src_dport_ltm,29,0.8036811527124176,23
dpkts,12,0.7164411879972353,24
sjit,17,0.7030747342561257,25
sttl,1,0.7005975364405086,26
dttl,4,0.6534658444204084,27
ct_src_ltm,27,0.5977807015431523,28
ct_dst_src_ltm,26,0.5803014033529306,29
ct_dst_ltm,24,0.5751436418441852,30
state_CON,30,0.5619121015767115,31
synack,15,0.5325966189037832,32
dloss,20,0.52860230121224,33
proto_udp,42,0.5059714060362611,34
ct_flw_http_mthd,51,0.44638644449126824,35
djit,19,0.44372976621626886,36
service_http,63,0.41797788379849526,37
stcpb,32,0.403534947976827,38
dtcpb,34,0.3974343706484658,39
response_body_len,37,0.3817993126040163,40
ackdat,16,0.3690115500261886,41
trans_depth,47,0.32115575638203026,42
proto_tcp,35,0.2855656083509363,43
swin,31,0.2841444594137017,44
is_ftp_login,54,0.2565925440200354,45
ct_ftp_cmd,50,0.25643585759958,46
dbytes,2,0.2527590920242651,47
tcprtt,14,0.2063267365887784,48
state_RST,64,0.2019636150574241,49
state_FIN,36,0.14397974223085025,50
dwin,33,0.12308979141624155,51
is_sm_ips_ports,40,0.10210016533723713,52
sinpkt,13,0.08314940719651512,53
proto_arp,41,0.07884976888324655,54
proto_unas,38,0.039019473221739084,55
proto_any,52,0.0019999999999981825,56
proto_sctp,48,0.001020811107710216,57
proto_rsvp,61,0.00100000128424348,58
proto_gre,55,0.0010000001343279422,59
proto_swipe,60,0.0009999997352887827,60
proto_bna,71,0.0005000000000180651,61
proto_sun-nd,59,0.0005,62
proto_sep,62,0.0005,63
proto_br-sat-mon,72,0.0004999997873653556,64
proto_a/n,67,0.0004999984797158365,65
proto_pim,58,0.0004999982164472271,66
proto_mobile,57,0.000499980774120273,67
proto_aris,69,2.5947683433187984e-07,68
proto_ax.25,70,2.858796911111259e-10,69
proto_ib,65,5.710268598295925e-13,70
proto_cbt,73,2.860624189668075e-14,71
proto_3pc,66,4.851952594483528e-17,72
proto_ipv6,56,1.0201626670059474e-21,73
proto_cftp,74,1.0252441782820603e-35,74
proto_aes-sp3-d,68,6.007074778149577e-36,75
