positional_row_id,source_row_uid,raw_id,label
22639,UNSW_NB15_training-set.csv#id=028321,28321,0
131101,UNSW_NB15_training-set.csv#id=143913,143913,1
96775,UNSW_NB15_training-set.csv#id=108799,108799,0
102840,UNSW_NB15_training-set.csv#id=115336,115336,1
47576,UNSW_NB15_training-set.csv#id=057446,57446,1
124247,UNSW_NB15_training-set.csv#id=136989,136989,1
156263,UNSW_NB15_training-set.csv#id=169181,169181,1
1057,UNSW_NB15_training-set.csv#id=001326,1326,0
43299,UNSW_NB15_training-set.csv#id=053148,53148,1
136506,UNSW_NB15_training-set.csv#id=149349,149349,1
88666,UNSW_NB15_training-set.csv#id=100154,100154,1
89694,UNSW_NB15_training-set.csv#id=101243,101243,1
152307,UNSW_NB15_training-set.csv#id=165200,165200,1
17611,UNSW_NB15_training-set.csv#id=022056,22056,0
81913,UNSW_NB15_training-set.csv#id=093241,93241,1
90136,UNSW_NB15_training-set.csv#id=101712,101712,1
80606,UNSW_NB15_training-set.csv#id=091856,91856,1
134900,UNSW_NB15_training-set.csv#id=147733,147733,1
29558,UNSW_NB15_training-set.csv#id=036979,36979,0
91580,UNSW_NB15_training-set.csv#id=103260,103260,1
3588,UNSW_NB15_training-set.csv#id=004509,4509,0
26940,UNSW_NB15_training-set.csv#id=033710,33710,0
138286,UNSW_NB15_training-set.csv#id=151136,151136,1
107656,UNSW_NB15_training-set.csv#id=120238,120238,1
23434,UNSW_NB15_training-set.csv#id=029311,29311,0
32427,UNSW_NB15_training-set.csv#id=040553,40553,0
126420,UNSW_NB15_training-set.csv#id=139185,139185,1
123235,UNSW_NB15_training-set.csv#id=135968,135968,1
119124,UNSW_NB15_training-set.csv#id=131832,131832,1
80099,UNSW_NB15_training-set.csv#id=091334,91334,1
161975,UNSW_NB15_training-set.csv#id=174922,174922,1
144634,UNSW_NB15_training-set.csv#id=157507,157507,1
87943,UNSW_NB15_training-set.csv#id=099409,99409,1
119532,UNSW_NB15_training-set.csv#id=132242,132242,1
51263,UNSW_NB15_training-set.csv#id=061156,61156,1
76395,UNSW_NB15_training-set.csv#id=087382,87382,1
70499,UNSW_NB15_training-set.csv#id=081147,81147,1
54940,UNSW_NB15_training-set.csv#id=064902,64902,1
82529,UNSW_NB15_training-set.csv#id=093873,93873,1
80617,UNSW_NB15_training-set.csv#id=091868,91868,1
121185,UNSW_NB15_training-set.csv#id=133901,133901,1
21043,UNSW_NB15_training-set.csv#id=026342,26342,0
131920,UNSW_NB15_training-set.csv#id=144739,144739,1
72468,UNSW_NB15_training-set.csv#id=083232,83232,1
101944,UNSW_NB15_training-set.csv#id=114364,114364,1
127588,UNSW_NB15_training-set.csv#id=140364,140364,1
70808,UNSW_NB15_training-set.csv#id=081477,81477,1
26027,UNSW_NB15_training-set.csv#id=032560,32560,0
75097,UNSW_NB15_training-set.csv#id=086001,86001,0
102992,UNSW_NB15_training-set.csv#id=115496,115496,1
45618,UNSW_NB15_training-set.csv#id=055485,55485,1
48855,UNSW_NB15_training-set.csv#id=058731,58731,1
94225,UNSW_NB15_training-set.csv#id=106061,106061,1
24987,UNSW_NB15_training-set.csv#id=031233,31233,0
74348,UNSW_NB15_training-set.csv#id=085220,85220,1
117072,UNSW_NB15_training-set.csv#id=129772,129772,1
117927,UNSW_NB15_training-set.csv#id=130634,130634,1
75888,UNSW_NB15_training-set.csv#id=086854,86854,1
148594,UNSW_NB15_training-set.csv#id=161473,161473,1
111188,UNSW_NB15_training-set.csv#id=123826,123826,1
79316,UNSW_NB15_training-set.csv#id=090508,90508,1
52019,UNSW_NB15_training-set.csv#id=061921,61921,1
117435,UNSW_NB15_training-set.csv#id=130139,130139,1
90607,UNSW_NB15_training-set.csv#id=102209,102209,1
120619,UNSW_NB15_training-set.csv#id=133333,133333,1
71799,UNSW_NB15_training-set.csv#id=082525,82525,1
152280,UNSW_NB15_training-set.csv#id=165173,165173,1
20743,UNSW_NB15_training-set.csv#id=025969,25969,0
109784,UNSW_NB15_training-set.csv#id=122399,122399,1
134020,UNSW_NB15_training-set.csv#id=146852,146852,1
3680,UNSW_NB15_training-set.csv#id=004621,4621,0
44895,UNSW_NB15_training-set.csv#id=054759,54759,1
23354,UNSW_NB15_training-set.csv#id=029215,29215,0
44735,UNSW_NB15_training-set.csv#id=054599,54599,1
