Model / Pipeline,Status,Macro Precision,Macro Recall,Macro F1,Attack Precision,Attack Recall,Attack F1,Balanced Accuracy,FPR
Decision Tree (Base),REPRODUCED,0.8783399173583007,0.8443522799543157,0.849851877370434,0.8072888524529075,0.968245100449172,0.8804714488925015,0.8443522799543157,0.27954054054054056
Random Forest (Base),REPRODUCED,0.903931597498701,0.8749443738135776,0.8807332603329192,0.8370039852792556,0.9809157746541822,0.9032636430981974,0.8749443738135776,0.23102702702702702
SVM (Base),REPRODUCED,0.851945362590538,0.8189055835763808,0.8236132580960511,0.7869274986093083,0.948378734720329,0.8601424821897263,0.8189055835763808,0.3105675675675676
Neural Network (Base),REPRODUCED,0.8989086534662067,0.8918501092882644,0.8942934700408812,0.8813405987671205,0.9361326510089611,0.9079107065452969,0.8918501092882644,0.15243243243243243
OOF Stacking (Seed 42),REPRODUCED,0.9065523823780269,0.8879307887296892,0.8926091690431182,0.8591437527278498,0.9677534693512704,0.9102201670957911,0.8879307887296892,0.1918918918918919
OOF Stacking (Seed 123),REPRODUCED,0.9065910894495004,0.8879349419253215,0.8926186397931948,0.8591038025906016,0.9678428568236161,0.9102372795863896,0.8879349419253215,0.19197297297297297
OOF Stacking (Seed 2024),REPRODUCED,0.9070072515507552,0.8890714257241442,0.8936559437082856,0.861006089067537,0.9669266352320722,0.9108975506036652,0.8890714257241442,0.18878378378378377
OOF Stacking (3-Seed Mean),REPRODUCED,0.9067169077927609,0.8883123854597184,0.8929612508481996,0.8597512147953296,0.9675076538023196,0.9104516657619487,0.8883123854597184,0.19088288288288288
Fusion C06 (Stack 42 + AE),REPRODUCED,0.9064320702060303,0.8877551130540136,0.892439983171387,0.8589222316983677,0.9677534693512704,0.910095830531271,0.8877551130540136,0.19224324324324324
Ablation A1b (Soft Vote),REPRODUCED,0.88670779734852,0.8446485323845376,0.8506324370045575,0.8019583530870501,0.9828376053096158,0.8832324206002551,0.8446485323845376,0.2935405405405405
A0_RF (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A1_FULL_STACK (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A2_NO_DT (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A3_NO_RF (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A4_NO_SVM (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A5_NO_NN (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A6_STACK_PLUS_AE (Ablation),NOT_REPRODUCED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
