rank,feature,mean_error_all_backdoor,mean_error_q1_both,mean_error_q3_rescue,mean_error_q4_missed
1,proto_ospf,20.37572479248047,0.0,0.0,0.01036133710294962
2,ct_dst_src_ltm,2.882784128189087,0.0,0.0,0.06135285645723343
3,state_REQ,2.846484661102295,0.0,0.0,0.005063614808022976
4,state_INT,2.567178726196289,0.0,0.0,0.008071460761129856
5,proto_udp,2.4982430934906006,0.0,0.0,8.361833897652104e-05
6,ct_dst_sport_ltm,2.3880066871643066,0.0,0.0,0.06952568888664246
7,rate,1.6548577547073364,0.0,0.0,0.05379697307944298
8,sload,1.2259516716003418,0.0,0.0,0.05942343547940254
9,ct_srv_dst,0.8983942866325378,0.0,0.0,0.14352838695049286
10,ct_srv_src,0.8659455180168152,0.0,0.0,0.09401584416627884
11,dttl,0.7556297779083252,0.0,0.0,0.019327810034155846
12,dur,0.7156778573989868,0.0,0.0,0.03318425267934799
13,smean,0.5728961229324341,0.0,0.0,0.18291239440441132
14,ct_state_ttl,0.476603239774704,0.0,0.0,0.02515018917620182
15,swin,0.43974950909614563,0.0,0.0,4.3927706428803504e-05
